,@id,@type,rdfs:label.de,rdfs:label.pt,rdfs:label.en,rdfs:label.it,rdfs:label.fr,rdfs:label.nl,rdfs:label.es
7,kb:FatBike,['SportsTheme'],['Fat Bike'],['Bicicleta de neve'],['Fat bike'],['Fat bike'],['Fat bike'],['Fatbike'],['Fat bike']
2,kb:Paragliding,['SportsTheme'],['Paragleiten'],['Parapente'],['Paragliding'],['Parapendio'],['Parapente'],['Paragliden'],['Parapente']
4,kb:Ulm,['SportsTheme'],['Ulm'],['Ultra Ligeiro Motorizado (ULM)'],['Ulm'],['Ulm'],['Ulm'],['Ulm'],['Ulm']
0,kb:EscapeGame,['SportsTheme'],['Escape Game'],['Jogo de evasão'],['Escape game'],['Escape game'],['Escape game'],['Escape room'],['Juego de escape']
1,kb:Boules,['SportsTheme'],['Pétanque'],['Petanca'],['Boules'],['Bocce'],['Pétanque'],['Jeu de boules'],['Petanca']
3,kb:MiniGolf,"['CommonAmenity', 'SportsTheme']",['Minigolf'],['Minigolfe'],['Mini golf'],['Minigolf'],['Mini-golf'],['Minigolf'],['Minigolf']
6,kb:Tennis,['SportsTheme'],['Tennis'],['Ténis'],['Tennis'],['Tennis'],['Tennis'],['Tennis'],['Tenis']
1,kb:Skydiving,['SportsTheme'],['Fallschirmspringen'],['Paraquedismo'],['Skydiving'],['Paracadutismo'],['Parachutisme'],['Parachutespringen'],['Paracaidismo']
1,kb:Kitesurfing,['SportsTheme'],['Kitesurfen'],['Kitesurf'],['Kitesurfing'],['Kite-surf'],['Kite-surf'],['Kitesurfen'],['Kitesurf']
1,kb:NordicWalking,['SportsTheme'],['Nordic Walking'],['Marcha nórdica'],['Nordic walking'],['Camminata nordica'],['Marche nordique'],['Nordic walking'],['Caminata nórdica']
0,kb:DonkeyHiking,['SportsTheme'],['Eselwandern'],['Caminhada em burro'],['Donkey hiking'],['Escursione con asino da soma'],['Randonnée avec âne porteur'],['Ezelwandelingen'],['Paseo con burros']
